Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in (Year),Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State, Yearly Revenue , Monthly Sales , Gross Margin , Net Margin ,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped, Original Ask Amount ,Original Offered Equity, Valuation Requested ,Received Offer,Accepted Offer, Total Deal Amount ,Total Deal Equity, Total Deal Debt ,Debt Interest, Deal Valuation ,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity, Namita Investment Amount ,Namita Investment Equity, Namita Debt Amount , Vineeta Investment Amount ,Vineeta Investment Equity, Vineeta Debt Amount , Anupam Investment Amount ,Anupam Investment Equity, Anupam Debt Amount , Aman Investment Amount ,Aman Investment Equity, Aman Debt Amount , Peyush Investment Amount ,Peyush Investment Equity, Peyush Debt Amount , Amit Investment Amount ,Amit Investment Equity, Amit Debt Amount , Ashneer Investment Amount ,Ashneer Investment Equity, Ashneer Debt Amount , Guest Investment Amount ,Guest Investment Equity, Guest Debt Amount ,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
1,TheaAndSid,32,104,12/20/2021,2/4/2022,2/1/2022,The Road To Success,Rannvijay Singh,Services,Proposal Solutions,https://theaandsid.com/,2021,2,0,2,0,0,Middle,Mumbai,Maharashtra," ? 1,600,000.00 "," ? 1,000,000.00 "," ? 7,500,000.00 "," ? 3,000,000.00 ",,No,Unknown,,," ? 8,000,000.00 ",7," ? 114,300,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,0,1,1,1,0,1,0
2,TheBigBookBox ChapterOneBooks,47,306,1/2/2023,3/10/2023,3/7/2023,Tunnel Se Tank Tak Ka Safar,Rahul Dua,Furnishing/Household,New paperback and hardcover books,https://www.thebigbookbox.com/,2017,2,1,1,0,0,Middle,Gopalganj,Bihar," ? 14,000,000.00 ", ? -   , ? -   , ? -   ,,No,Unknown,,," ? 5,000,000.00 ",8," ? 62,500,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,0,1,0,0
3,TheCinnamonKitchen,2,325,1/22/2024,3/31/2024,1/23/2024,An Entrepreneurial Showcase,Rahul Dua,Food,Plant-based healthy snacks,https://cinnamon.kitchen/,2019,1,0,1,0,0,Middle,Chandigarh,Punjab," ? 8,200,000.00 ", ? -   , ? -   , ? -   ,,No,Unknown,,," ? 6,000,000.00 ",2," ? 300,000,000.00 ",1,1," ? 6,000,000.00 ",5, ? -   ,," ? 120,000,000.00 ",1,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 6,000,000.00 ",5, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Deepinder Goyal,1,1,1,1,0,0,0,1
2,TheGreenSnack,27,233,1/2/2023,3/10/2023,2/7/2023,Nayi Soch Naye Vichaar,Rahul Dua,Food,Healthy Snacks Online,https://thegreensnackco.com/,2017,2,1,1,0,1,Middle,Mumbai,Maharashtra, ? -   ," ? 2,500,000.00 ", ? -   , ? -   ,,yes,Unknown,,," ? 10,000,000.00 ",2," ? 500,000,000.00 ",1,1," ? 10,000,000.00 ",8, ? -   ,," ? 125,000,000.00 ",1,,,, ? -   ,, ? -   ," ? 10,000,000.00 ",8, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,0,1,0,0
2,TheHealthyBinge,33,254,1/2/2023,3/10/2023,2/15/2023,Growing With India,Rahul Dua,Food,Assorted Pack Baked Chips,https://www.healthybinge.co.in/,2019,2,2,0,0,0,Middle,Pune,Maharashtra, ? -   ," ? 1,100,000.00 ", ? -   , ? -   ,,yes,Unknown,,," ? 5,000,000.00 ",5," ? 100,000,000.00 ",1,1," ? 5,000,000.00 ",5, ? -   ,," ? 100,000,000.00 ",2,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 2,500,000.00 ",2.5, ? -   ," ? 2,500,000.00 ",2.5, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
2,TheHealthyFactory,46,303,1/2/2023,3/10/2023,3/6/2023,Different Colours Of Entrepreneurship,Rahul Dua,Food,Protein bread,https://www.thehealthfactory.in/,2018,2,2,0,0,0,Young,Mumbai,Maharashtra, ? -   , ? -   ," ? 5,600,000.00 ", ? -   ,,yes,Unknown,,," ? 7,500,000.00 ",2.1," ? 357,142,857.10 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
1,TheIris,0,145,12/20/2021,2/4/2022,,Unseen,Rannvijay Singh,Manufacturing,Pocket Microscopes,https://www.theiris.co.in/,2019,2,1,1,0,0,Young,Bangalore,Karnataka, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 1,000,000.00 ",15," ? 6,700,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,0,0,0,0,0,0,0,0
1,ThekaCoffee,27,86,12/20/2021,2/4/2022,1/25/2022,Investing In The Future Of India,Rannvijay Singh,Food,Coffee Products,https://thekacoffee.com/,2018,1,1,0,0,0,Young,Gandhinagar,Gujarat," ? 18,000,000.00 "," ? 400,000.00 ", ? -   , ? -   ,,No,12,,," ? 5,000,000.00 ",10," ? 50,000,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Ghazal Alagh,1,1,1,0,1,0,0,1
2,ThePlatedProject,46,301,1/2/2023,3/10/2023,3/6/2023,Different Colours Of Entrepreneurship,Rahul Dua,Services,Decor Plates & Dinnerware,https://www.theplatedproject.com/,2019,1,1,0,0,0,Middle,Mumbai,Maharashtra, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 7,500,000.00 ",2," ? 375,000,000.00 ",1,1," ? 7,500,000.00 ",3.75, ? -   ,," ? 200,000,000.00 ",3,,,," ? 2,500,000.00 ",1.25, ? -   ," ? 2,500,000.00 ",1.25, ? -   , ? -   ,, ? -   ," ? 2,500,000.00 ",1.25, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
1,TheQuirkyNaari,21,68,12/20/2021,2/4/2022,1/17/2022,Game-changing Ideas,Rannvijay Singh,Beauty/Fashion,Customised Apparels,https://thequirkynaari.com/,2018,1,0,1,0,0,Young,Mathura,Uttar Pradesh, ? -   ," ? 300,000.00 ", ? -   , ? -   ,,No,Unknown,,," ? 3,500,000.00 ",5," ? 70,000,000.00 ",1,1," ? 3,500,000.00 ",24, ? -   ,," ? 14,600,000.00 ",2,,,, ? -   ,, ? -   ," ? 1,750,000.00 ",12, ? -   ," ? 1,750,000.00 ",12, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,0,1,1,1,1,0,1,0
